debtId,name,email,debtAmount,debtDueDate,governmentId
2196,Tillie Leonard,sak@gih.sk,$5366.74,04/18/2038,233926430
9707,Clarence Lambert,heg@wen.fr,$5619.82,02/17/1961,341410692
5309,Herman Hansen,kulzuw@humtafpi.gy,$6748.93,05/13/1979,572853516
0777,Cornelia Hodges,lur@ohe.tr,$8737.58,06/08/2054,878155245
9299,Vera Leonard,mamdefiju@roj.pe,$3704.72,03/28/2026,417748479
0341,Matthew Collins,weej@pitit.vi,$8793.80,02/10/1935,786671233
6163,Amanda Mullins,jijibfus@misikre.es,$2422.87,04/26/2015,857408334
4158,Lizzie Reid,mezi@dacsa.eg,$5682.53,07/05/1948,546924632
8466,Lily Torres,nigvu@rototavi.kn,$4670.05,05/22/1992,608782687
1206,Millie Taylor,nonfubpo@winki.mq,$9554.11,09/11/1913,614807665
3176,Aiden Boone,meg@popo.org,$268.96,01/13/1924,071033233
3057,Cecilia Baldwin,nuhe@meflacfaj.cv,$3785.63,11/02/1905,900036395
4384,Lucy Murray,jeuhwil@kalnaowo.sn,$9717.73,07/22/2053,255459579
9584,Theresa Roberson,tugjo@faraska.jp,$3797.90,12/10/1926,628453596
4675,Franklin Tran,pamob@ragtir.my,$7287.07,10/21/2029,377483091
9830,Landon Wagner,huidupew@wun.bn,$5225.11,07/29/1920,030033105
8369,Ricky Rice,ospuh@irabu.ac,$8469.56,08/25/1957,391801706
5009,Lawrence Rios,netillan@cepehhuc.ie,$6650.53,05/12/1968,986403071
0122,Willie Webster,guktenu@nuf.ru,$7672.14,08/18/1990,179552526
5582,Winifred James,emeburduw@wa.lt,$3100.84,08/12/1985,561933454
3342,Chad Lopez,midi@joz.ph,$3480.14,08/11/2004,351038130
0791,Eunice Perez,dubus@pajlu.tr,$2663.23,08/04/1962,522534619
8979,Olive Griffin,felzabe@mahe.io,$8545.53,01/12/1914,734311836
9351,Dorothy Saunders,nurov@tewwicev.er,$9938.26,04/03/1985,235204441
0905,Iva West,uri@iwarok.kz,$3198.13,03/10/1926,530856841
7211,Gilbert Gross,ow@ged.mc,$8751.00,12/10/2031,307680886
4928,Paul Hamilton,kik@alo.so,$6144.96,06/08/2061,434620325
5087,Jerome Stephens,re@ukriw.ng,$6578.48,12/16/1939,279303981
0551,Stella Silva,dojap@udzudu.tk,$7508.30,04/05/1941,225837672
1955,Carlos Fields,pu@warvaij.at,$4295.80,10/05/2024,514434434
0922,Maria Hines,ci@wab.in,$2585.24,02/24/2037,694095328
1163,Phillip Mullins,po@jirika.net,$9296.78,11/27/1950,523693325
8146,Estella Pittman,fekuulo@ronira.re,$7731.25,01/15/1915,732530307
2290,Brent Oliver,zo@ga.nu,$4458.29,08/04/1941,745012084
8623,Clarence Cain,zubu@cazhecan.do,$1534.19,12/22/2000,353926292
9119,Nannie Quinn,ese@abe.gg,$6799.29,06/03/1992,868084310
9298,Ella Evans,feteubi@cejen.my,$1813.00,02/02/2062,998691473
1190,Janie Ramos,sil@towpekbok.bd,$3292.71,03/21/2045,900802900
5896,Michael Williams,fopsuf@burvijwos.km,$8902.57,11/22/2022,061830359
8732,Leona Kelly,vukraki@kakibsuv.sx,$3248.99,04/09/2069,697697771
6953,Olive Moss,simek@hadtu.sr,$2639.95,10/21/1969,109963302
0186,Hannah Hogan,zehocaw@col.io,$5563.83,10/05/1916,674267364
6675,Jeff Douglas,wauc@ihiaj.cg,$9365.58,09/02/1972,817168559
7698,Daniel Ray,sufnu@walaz.lt,$2617.06,10/23/1917,796891100
6621,Tom Perez,tokeha@ob.je,$8771.21,02/13/2035,915728289
6758,Angel Freeman,wacotoh@gogjug.sv,$1782.32,12/10/1951,673121585
9035,Herman Taylor,eh@hikjules.km,$744.90,06/03/1978,798693713
7400,Daniel Paul,icuvamah@fozlolu.ng,$2452.53,04/17/2009,939581784
1898,Callie Neal,dapbiva@vagde.va,$2756.02,08/30/2028,024677376
7918,Willie Ramos,reh@fodo.an,$6606.31,05/25/1991,656018355
